timestamp_s,elapsed_s,load_cell_voltage,load_cell_force,Sensor0_voltage,Sensor1_voltage,Sensor2_voltage
1779280284.3678412,2.350527763366699,2.035441620031982,2.035441620031982,4.960153960558976,0.6632455460806277,-0.031630593889794056
1779280284.4179106,2.400597095489502,2.0252567179007386,2.0252567179007386,4.990707713962458,1.0194612712041824,0.16191890183120705
1779280284.467626,2.450312614440918,2.0150718157694882,2.0150718157694882,4.695354764395468,1.4163873649132874,0.3656552131164723
1779280284.5178363,2.5005228519439697,1.8622982838008184,1.8622982838008184,4.043541358454519,1.731892721451299,0.5082706310161598
1779280284.567824,2.5505104064941406,1.8724831859320616,1.8724831859320616,4.002803020583215,2.118641223014013,0.5286442621446881
1779280284.617876,2.600562572479248,1.8113737731445951,1.8113737731445951,3.819480500162321,2.1695291837459543,0.6406992333515831
1779280284.6678445,2.650531053543091,1.5567512198634788,1.5567512198634788,3.2084054320926825,2.4341465795520243,0.4980838154518956
1779280284.717933,2.7006194591522217,1.4549021985510322,1.4549021985510322,2.699176208701317,2.4952121324303427,0.4165892909377895
1779280284.7676754,2.750361919403076,1.841928479538332,1.841928479538332,2.5565920261517334,3.3603074648732694,-0.031630593889794056
1779280284.8178158,2.800502300262451,1.3123135687136056,1.3123135687136056,1.9862552959534057,3.44172820204437,-0.12331193396816431
1779280284.867425,2.850111484527588,1.9437775008507785,1.9437775008507785,1.9149632046786138,3.59439208424018,-0.12331193396816431
1779280284.9177294,2.9004158973693848,2.4632075095442545,2.4632075095442545,2.7093607931691466,5.4772466313218295,-1.0706857814446522
1779280284.9675786,2.9502651691436768,2.3715433903630583,2.3715433903630583,2.5769611950873923,5.416181078443511,-1.1318066748302336
1779280285.0181584,3.000844955444336,2.4937622159379913,2.4937622159379913,2.444561597005638,5.456891447029054,-0.9586308102377572
1779280285.0678496,3.0505361557006836,2.483577313806748,2.483577313806748,2.2816082455204025,6.026836607226745,-0.7650813145167525
1779280285.1178484,3.1005349159240723,1.882668088063312,1.882668088063312,1.6603485929829347,5.375470709857961,-0.19461964291800626
1779280285.1678286,3.150515079498291,1.841928479538332,1.841928479538332,1.1103810317202587,4.663039259610844,0.37584202868073646
1779280285.2180924,3.2007789611816406,1.3632380793698289,1.3632380793698289,0.6520747306680335,4.530730561707809,0.8342487290725877
1779280285.2678466,3.250533103942871,1.4752720028135187,1.4752720028135187,0.49930596365062385,3.685990413557665,1.068545487050642
1779280285.3178558,3.3005423545837402,0.9456570919887994,0.9456570919887994,0.3261680276975589,3.3806626491660445,1.2722817983359107
1779280285.3679178,3.350604295730591,1.3428682751073424,1.3428682751073424,0.22432218301928586,3.187288398384684,1.516765371878229
1779280285.4178307,3.400517225265503,1.5567512198634788,1.5567512198634788,-0.03029242867639681,3.7470559664359904,2.138161121298289
1779280285.4678507,3.4505372047424316,1.6891549475696621,1.6891549475696621,-0.17287661122597697,3.8691870721926342,2.72899642402556
1779280285.5179055,3.500591993331909,1.9437775008507785,1.9437775008507785,-0.1830611956938064,3.7674111507287584,3.1874031244174077
1779280285.5678825,3.5505690574645996,2.1474755434756716,2.1474755434756716,-0.26453787143642415,3.716523189996824,4.063469262944054
1779280285.618095,3.6007814407348633,2.1067359349506916,2.1067359349506916,-0.27472245590425004,3.3704850570196534,4.695051827928381
1779280285.6678698,3.6505563259124756,1.8521133816695752,1.8521133816695752,-0.09139993548335923,2.5766328696014433,4.257018758665055
1779280285.7178433,3.7005298137664795,1.8928529901945552,1.8928529901945552,-0.1932457801616323,2.281482697356214,4.990469479292017
1779280285.7678351,3.750521659851074,1.485456904944769,1.485456904944769,0.020630493662739724,1.742070313597683,4.3487000987434286
1779280285.8178957,3.80058217048645,1.8113737731445951,1.8113737731445951,0.12247633834101279,1.4469201413524537,4.6339309345428035
1779280285.8678966,3.850583076477051,1.4345323942885457,1.4345323942885457,0.2956142742940777,1.0499940476433487,4.776546352442487
1779280285.91785,3.90053653717041,1.6280455347821885,1.6280455347821885,0.3974601189723508,0.7446662832517248,4.582996856721486
1779280285.9678574,3.9505438804626465,1.4650871006822754,1.4650871006822754,0.5196751325862756,0.21543149163958475,4.776546352442487
1779280286.017824,4.0005104541778564,1.4956418070760122,1.4956418070760122,0.6317055617323781,-0.3545136685581056,4.868227692520854
1779280286.0676007,4.050287246704102,1.5160116113384987,1.5160116113384987,0.7233668219428218,-0.5885982879250129,4.582996856721486
1779280286.1182346,4.100921154022217,1.7808190667508654,1.7808190667508654,0.7437359908784771,-1.0771227109516026,5.296073946219913
1779280286.1678653,4.150551795959473,1.9743322072445082,1.9743322072445082,0.8965047578958902,-1.5045815810998704,5.754480646611761
1779280286.2178702,4.200556755065918,1.7400794582258854,1.7400794582258854,1.1816731229950506,-1.697955831881231,5.662799306533394
