timestamp_s,elapsed_s,known_axial_force,Sensor0_voltage,Sensor1_voltage,Sensor2_voltage
1779279210.1532686,3.3005990982055664,8.829,10.052446194472623,9.935031991439477,10.032943183602356
1779279210.203312,3.350642442703247,8.829,9.909862011923046,10.128406242220837,9.971822290216771
1779279210.2534728,3.400803327560425,8.829,10.01170785660132,9.955387175732252,10.043129999166617
1779279210.303214,3.450544595718384,8.829,10.00152327213349,9.955387175732252,10.063503630295145
1779279210.3532531,3.5005836486816406,8.829,9.95060034979435,10.067340689342512,9.982009105781039
1779279210.403316,3.5506465435028076,8.829,9.960784934262179,10.036807912903353,9.9921959213453
1779279210.4533124,3.6006429195404053,8.829,10.0422616100048,9.894321622853933,10.073690445859405
1779279210.5033169,3.6506474018096924,8.829,9.940415765326527,10.057163097196128,10.022756368038088
1779279210.553504,3.7008345127105713,8.829,9.98115410319783,10.057163097196128,9.96163547465251
1779279210.6032348,3.75056529045105,8.829,10.01170785660132,9.935031991439477,10.073690445859405
1779279210.653345,3.800675630569458,8.829,9.970969518730008,9.996097544317802,10.043129999166617
1779279210.703311,3.8506414890289307,8.829,9.98115410319783,10.077518281488903,9.95144865908825
1779279210.7530496,3.9003801345825195,8.829,10.00152327213349,9.955387175732252,10.053316814730877
1779279210.803082,3.9504125118255615,8.829,9.960784934262179,9.985919952171418,10.073690445859405
1779279210.8529491,4.000279664993286,8.829,9.99133868766566,10.046985505049744,9.931075027959722
1779279210.903314,4.050644636154175,8.829,9.95060034979435,10.026630320756968,10.032943183602356
1779279210.9533064,4.100636959075928,8.829,10.01170785660132,9.914676807146702,10.083877261423673
1779279211.00328,4.150610446929932,8.829,9.960784934262179,10.077518281488903,9.96163547465251
1779279211.0533185,4.20064902305603,8.829,9.960784934262179,10.036807912903353,10.002382736909567
1779279211.1033182,4.250648736953735,8.829,10.01170785660132,9.924854399293093,10.073690445859405
1779279211.1533628,4.3006932735443115,8.829,9.99133868766566,10.026630320756968,9.9921959213453
1779279211.2032502,4.35058069229126,8.829,9.95060034979435,10.057163097196128,9.9921959213453
1779279211.2532363,4.400566816329956,8.829,9.98115410319783,9.955387175732252,10.063503630295145
1779279211.3032224,4.450552940368652,8.829,10.01170785660132,9.975742360025027,10.022756368038088
1779279211.353306,4.500636577606201,8.829,9.940415765326527,10.087695873635287,9.971822290216771
1779279211.4033089,4.550639390945435,8.829,10.00152327213349,9.975742360025027,10.043129999166617
1779279211.4527628,4.600093364715576,8.829,10.01170785660132,9.965564767878643,10.063503630295145
1779279211.503228,4.6505584716796875,8.829,9.95060034979435,10.077518281488903,9.971822290216771
1779279211.5532937,4.700624227523804,8.829,9.970969518730008,10.016452728610577,10.012569552473828
1779279211.603341,4.750671625137329,8.829,10.032077025536971,9.914676807146702,10.063503630295145
1779279211.6533353,4.800665855407715,8.829,9.940415765326527,10.067340689342512,10.012569552473828
1779279211.7033257,4.850656270980835,8.829,9.98115410319783,10.026630320756968,9.971822290216771
1779279211.753393,4.900723457336426,8.829,10.01170785660132,9.935031991439477,10.063503630295145
1779279211.803207,4.950537443161011,8.829,9.960784934262179,10.016452728610577,10.032943183602356
1779279211.8531332,5.0004637241363525,8.829,9.970969518730008,10.077518281488903,9.95144865908825
1779279211.903125,5.050455570220947,8.829,10.01170785660132,9.935031991439477,10.063503630295145
1779279211.953333,5.100663423538208,8.829,9.95060034979435,9.996097544317802,10.063503630295145
1779279212.003368,5.15069842338562,8.829,9.99133868766566,10.046985505049744,9.931075027959722
1779279212.0533116,5.200642108917236,8.829,9.970969518730008,9.985919952171418,10.053316814730877
1779279212.1030097,5.250340223312378,8.829,9.99133868766566,9.955387175732252,10.073690445859405
1779279212.153277,5.300607442855835,8.829,9.98115410319783,10.057163097196128,9.95144865908825
1779279212.2032995,5.350630044937134,8.829,9.970969518730008,10.006275136464193,10.012569552473828
1779279212.2533517,5.400682210922241,8.829,9.98115410319783,9.965564767878643,10.073690445859405
1779279212.3033047,5.450635194778442,8.829,10.01170785660132,10.006275136464193,9.982009105781039
1779279212.3532677,5.500598192214966,8.829,9.940415765326527,10.067340689342512,10.012569552473828
1779279212.4033475,5.550678014755249,8.829,10.021892441069141,9.935031991439477,10.073690445859405
1779279212.4528656,5.600196123123169,8.829,9.98115410319783,10.006275136464193,9.982009105781039
1779279212.503226,5.650556564331055,8.829,9.95060034979435,10.067340689342512,9.9921959213453
1779279212.5533369,5.700667381286621,8.829,10.01170785660132,9.955387175732252,10.063503630295145
1779279212.603287,5.750617504119873,8.829,9.99133868766566,9.985919952171418,10.022756368038088
1779279212.653272,5.800602436065674,8.829,9.940415765326527,10.087695873635287,9.982009105781039
1779279212.7033176,5.8506481647491455,8.829,10.01170785660132,9.955387175732252,10.032943183602356
1779279212.753529,5.900859594345093,8.829,9.99133868766566,9.965564767878643,10.063503630295145
1779279212.8031645,5.950495004653931,8.829,9.930231180858698,10.077518281488903,9.982009105781039
1779279212.8533041,6.000634670257568,8.829,10.01170785660132,9.985919952171418,10.002382736909567
1779279212.9032555,6.050585985183716,8.829,9.99133868766566,9.955387175732252,10.073690445859405
1779279212.9533188,6.100649356842041,8.829,9.960784934262179,10.036807912903353,9.982009105781039
1779279213.0033157,6.150646209716797,8.829,9.98115410319783,10.036807912903353,9.982009105781039
1779279213.0532563,6.200586795806885,8.829,10.00152327213349,9.945209583585868,10.083877261423673
1779279213.1028545,6.250185012817383,8.829,9.970969518730008,10.016452728610577,10.012569552473828
1779279213.153267,6.300597429275513,8.829,9.98115410319783,10.046985505049744,9.941261843523982
1779279213.2033782,6.350708723068237,8.829,9.98115410319783,9.975742360025027,10.083877261423673
1779279213.2533324,6.400662899017334,8.829,10.021892441069141,9.955387175732252,10.053316814730877
1779279213.3033452,6.45067572593689,8.829,9.95060034979435,10.087695873635287,9.96163547465251
1779279213.353327,6.500657558441162,8.829,9.970969518730008,9.996097544317802,10.032943183602356
1779279213.4032402,6.550570726394653,8.829,10.021892441069141,9.945209583585868,10.053316814730877
1779279213.4533136,6.600644111633301,8.829,9.960784934262179,10.036807912903353,9.982009105781039
1779279213.5033226,6.650653123855591,8.829,9.920046596390868,10.087695873635287,10.002382736909567
1779279213.5532846,6.700615167617798,8.829,10.113553701279585,9.823078477829217,10.073690445859405
1779279213.6033802,6.750710725784302,8.829,9.848754505116077,10.158939018660003,10.002382736909567
1779279213.6532557,6.800586223602295,8.829,10.00152327213349,10.036807912903353,9.931075027959722
1779279213.7033277,6.850658178329468,8.829,10.103369116811763,9.812900885682833,10.104250892552194
1779279213.7533445,6.900675058364868,8.829,9.808016167244773,10.179294202952779,10.053316814730877
1779279213.8033137,6.950644254684448,8.829,10.093184532343933,9.975742360025027,9.869954134574144
1779279213.853296,7.000626564025879,8.829,9.99133868766566,9.935031991439477,10.114437708116462
1779279213.9033113,7.050641775131226,8.829,9.909862011923046,10.006275136464193,10.094064076987934
1779279213.9531817,7.100512266159058,8.829,10.021892441069141,10.108051057928062,9.839393687881348
1779279214.0032365,7.150567054748535,8.829,9.98115410319783,9.935031991439477,10.104250892552194
1779279214.0533326,7.200663089752197,8.829,9.95060034979435,9.955387175732252,10.134811339244983
1779279214.103332,7.250662565231323,8.829,10.021892441069141,10.108051057928062,9.829206872317087
1779279214.1532683,7.300598859786987,8.829,9.960784934262179,9.985919952171418,10.073690445859405
1779279214.203379,7.350709438323975,8.829,9.95060034979435,9.955387175732252,10.144998154809251
1779279214.2531912,7.400521755218506,8.829,10.093184532343933,9.996097544317802,9.869954134574144
1779279214.3032107,7.450541257858276,8.829,9.828385336180425,10.158939018660003,10.022756368038088
1779279214.3531954,7.500525951385498,8.829,10.062630778940452,9.833256069975608,10.114437708116462
